Edge	Weight
22 - 13	2
22 - 14	1
22 - 15	3
22 - 16	5
22 - 17	5
22 - 18	4
22 - 19	1
22 - 20	5
22 - 21	5
22 - 22	0
22 - 23	3
23 - 0	3
23 - 1	4
23 - 2	4
23 - 3	4
23 - 4	3
23 - 5	4
23 - 6	4
23 - 7	6
23 - 8	4
23 - 9	3
23 - 10	3
23 - 11	6
23 - 12	3
23 - 13	1
23 - 14	4
23 - 15	6
23 - 16	4
23 - 17	4
23 - 18	5
23 - 19	2
23 - 20	4
23 - 21	6
23 - 22	3
23 - 23	0
23 - 24	2
24 - 0	3
24 - 1	4
24 - 2	4
24 - 3	4
24 - 4	3
24 - 5	6
24 - 6	4
24 - 7	4
24 - 8	4
24 - 9	3
24 - 10	5
24 - 11	4
24 - 12	3
24 - 13	3
24 - 14	6
24 - 15	4
24 - 16	2
24 - 17	4
24 - 18	5
24 - 19	4
24 - 20	2
24 - 21	6
24 - 22	5
24 - 23	2
24 - 24	0
24 - 25	4
25 - 0	3
25 - 1	4
25 - 2	4
25 - 3	4
25 - 4	3
25 - 5	4
25 - 6	4
25 - 7	4
25 - 8	6
25 - 9	3
25 - 10	3
25 - 11	4
25 - 12	5
25 - 13	5
25 - 14	4
25 - 15	2
25 - 16	4
25 - 17	6
25 - 18	3
25 - 19	6
25 - 20	2
25 - 21	4
25 - 22	5
25 - 23	6
25 - 24	4
25 - 25	0
25 - 26	2
26 - 0	3
26 - 1	4
26 - 2	4
26 - 3	4
26 - 4	3
26 - 5	4
26 - 6	6
26 - 7	4
26 - 8	4
26 - 9	3
26 - 10	3
26 - 11	6
26 - 12	3
26 - 13	5
26 - 14	4
26 - 15	4
26 - 16	6
26 - 17	4
26 - 18	1
26 - 19	6
26 - 20	4
26 - 21	2
26 - 22	5
26 - 23	6
26 - 24	6
26 - 25	2
26 - 26	0
26 - 27	3
27 - 0	2
27 - 1	3
27 - 2	3
27 - 3	5
27 - 4	4
27 - 5	3
27 - 6	3
27 - 7	3
27 - 8	3
27 - 9	4
27 - 10	4
27 - 11	3
27 - 12	2
27 - 13	4
27 - 14	5
27 - 15	5
27 - 16	3
27 - 17	1
27 - 18	2
27 - 19	5
27 - 20	5
27 - 21	1
27 - 22	4
27 - 23	5
27 - 24	5
27 - 25	5
27 - 26	3
27 - 27	0
27 - 28	5
28 - 0	3
28 - 1	4
28 - 2	4
28 - 3	4
28 - 4	3
28 - 5	6
28 - 6	4
28 - 7	4
28 - 8	6
28 - 9	3
28 - 10	5
28 - 11	4
28 - 12	5
28 - 13	3
28 - 14	6
28 - 15	4
28 - 16	4
28 - 17	6
28 - 18	3
28 - 19	4
28 - 20	4
28 - 21	4
28 - 22	5
28 - 23	4
28 - 24	2
28 - 25	2
28 - 26	4
28 - 27	5
28 - 28	0
28 - 29	5
29 - 0	2
29 - 1	5
29 - 2	5
29 - 3	1
29 - 4	4
29 - 5	5
29 - 6	5
29 - 7	3
29 - 8	1
29 - 9	2
29 - 10	4
29 - 11	3
29 - 12	2
29 - 13	4
29 - 14	3
29 - 15	3
29 - 16	3
29 - 17	3
29 - 18	4
29 - 19	3
29 - 20	3
29 - 21	5
29 - 22	2
29 - 23	3
29 - 24	3
29 - 25	5
29 - 26	5
29 - 27	4
29 - 28	5
29 - 29	0
29 - 30	2
30 - 0	2
30 - 1	5
30 - 2	3
30 - 3	3
30 - 4	4
30 - 5	3
30 - 6	3
30 - 7	5
30 - 8	3
30 - 9	2
30 - 10	2
30 - 11	5
30 - 12	2
30 - 13	2
30 - 14	3
30 - 15	5
30 - 16	3
30 - 17	3
30 - 18	4
30 - 19	3
30 - 20	3
30 - 21	5
30 - 22	2
30 - 23	1
30 - 24	3
30 - 25	5
30 - 26	5
30 - 27	4
30 - 28	5
30 - 29	2
30 - 30	0
30 - 31	1
31 - 0	3
31 - 1	6
31 - 2	4
31 - 3	2
31 - 4	5
31 - 5	4
31 - 6	4
31 - 7	6
31 - 8	4
31 - 9	1
31 - 10	3
31 - 11	6
31 - 12	3
31 - 13	3
31 - 14	4
31 - 15	6
31 - 16	4
31 - 17	4
31 - 18	3
31 - 19	4
31 - 20	4
31 - 21	4
31 - 22	3
31 - 23	2
31 - 24	4
31 - 25	4
31 - 26	4
31 - 27	5
31 - 28	4
31 - 29	3
31 - 30	1
31 - 31	0
31 - 32	6
32 - 0	3
32 - 1	2
32 - 2	4
32 - 3	6
32 - 4	1
32 - 5	4
32 - 6	6
32 - 7	4
32 - 8	4
32 - 9	5
32 - 10	3
32 - 11	6
32 - 12	3
32 - 13	3
32 - 14	4
32 - 15	4
32 - 16	6
32 - 17	4
32 - 18	3
32 - 19	4
32 - 20	4
32 - 21	4
32 - 22	5
32 - 23	4
32 - 24	4
32 - 25	4
32 - 26	2
32 - 27	3
32 - 28	4
32 - 29	5
32 - 30	5
32 - 31	6
32 - 32	0
32 - 33	1
33 - 0	2
33 - 1	3
33 - 2	3
33 - 3	5
33 - 4	2
33 - 5	3
33 - 6	5
33 - 7	3
33 - 8	3
33 - 9	4
33 - 10	2
33 - 11	5
33 - 12	2
33 - 13	4
33 - 14	3
33 - 15	3
33 - 16	5
33 - 17	3
33 - 18	2
33 - 19	5
33 - 20	3
33 - 21	3
33 - 22	4
33 - 23	5
33 - 24	5
33 - 25	3
33 - 26	1
33 - 27	2
33 - 28	5
33 - 29	4
33 - 30	4
33 - 31	5
33 - 32	1
33 - 33	0
33 - 34	2
34 - 0	2
34 - 1	1
34 - 2	5
34 - 3	5
34 - 4	2
34 - 5	1
34 - 6	3
34 - 7	5
34 - 8	5
34 - 9	4
34 - 10	2
34 - 11	3
34 - 12	4
34 - 13	4
34 - 14	3
34 - 15	3
34 - 16	3
34 - 17	3
34 - 18	4
34 - 19	5
34 - 20	3
34 - 21	3
34 - 22	4
34 - 23	5
34 - 24	5
34 - 25	3
34 - 26	3
34 - 27	2
34 - 28	5
34 - 29	4
34 - 30	4
34 - 31	5
34 - 32	3
34 - 33	2
34 - 34	0
34 - 35	5
35 - 0	3
35 - 1	6
35 - 2	2
35 - 3	4
35 - 4	5
35 - 5	4
35 - 6	2
35 - 7	4
35 - 8	6
35 - 9	3
35 - 10	3
35 - 11	4
35 - 12	5
35 - 13	3
35 - 14	4
35 - 15	4
35 - 16	4
35 - 17	6
35 - 18	3
35 - 19	4
35 - 20	4
35 - 21	4
35 - 22	3
35 - 23	4
35 - 24	4
35 - 25	2
35 - 26	4
35 - 27	5
35 - 28	2
35 - 29	5
35 - 30	3
35 - 31	2
35 - 32	6
35 - 33	5
35 - 34	5
35 - 35	0
35 - 36	4
36 - 0	3
36 - 1	4
36 - 2	2
36 - 3	6
36 - 4	3
36 - 5	6
36 - 6	4
36 - 7	2
36 - 8	4
36 - 9	5
36 - 10	5
36 - 11	4
36 - 12	3
36 - 13	3
36 - 14	6
36 - 15	4
36 - 16	4
36 - 17	4
36 - 18	3
36 - 19	4
36 - 20	4
36 - 21	4
36 - 22	5
36 - 23	4
36 - 24	2
36 - 25	4
36 - 26	4
36 - 27	3
36 - 28	2
36 - 29	5
36 - 30	5
36 - 31	6
36 - 32	2
36 - 33	3
36 - 34	5
36 - 35	4
36 - 36	0
34 - 36	5
33 - 35	5
33 - 36	3
32 - 34	3
32 - 35	6
32 - 36	2
31 - 33	5
31 - 34	5
31 - 35	2
31 - 36	6
30 - 32	5
30 - 33	4
30 - 34	4
30 - 35	3
30 - 36	5
29 - 31	3
29 - 32	5
29 - 33	4
29 - 34	4
29 - 35	5
29 - 36	5
28 - 30	5
28 - 31	4
28 - 32	4
28 - 33	5
28 - 34	5
28 - 35	2
28 - 36	2
27 - 29	4
27 - 30	4
27 - 31	5
27 - 32	3
27 - 33	2
27 - 34	2
27 - 35	5
27 - 36	3
26 - 28	4
26 - 29	5
26 - 30	5
26 - 31	4
26 - 32	2
26 - 33	1
26 - 34	3
26 - 35	4
26 - 36	4
25 - 27	5
25 - 28	2
25 - 29	5
25 - 30	5
25 - 31	4
25 - 32	4
25 - 33	3
25 - 34	3
25 - 35	2
25 - 36	4
24 - 26	6
24 - 27	5
24 - 28	2
24 - 29	3
24 - 30	3
24 - 31	4
24 - 32	4
24 - 33	5
24 - 34	5
24 - 35	4
24 - 36	2
23 - 25	6
23 - 26	6
23 - 27	5
23 - 28	4
23 - 29	3
23 - 30	1
23 - 31	2
23 - 32	4
23 - 33	5
23 - 34	5
23 - 35	4
23 - 36	4
22 - 24	5
22 - 25	5
22 - 26	5
22 - 27	4
22 - 28	5
22 - 29	2
22 - 30	2
22 - 31	3
22 - 32	5
22 - 33	4
22 - 34	4
22 - 35	3
22 - 36	5
21 - 23	6
21 - 24	6
21 - 25	4
21 - 26	2
21 - 27	1
21 - 28	4
21 - 29	5
21 - 30	5
21 - 31	4
21 - 32	4
21 - 33	3
21 - 34	3
21 - 35	4
21 - 36	4
20 - 22	5
20 - 23	4
20 - 24	2
20 - 25	2
20 - 26	4
20 - 27	5
20 - 28	4
20 - 29	3
20 - 30	3
20 - 31	4
20 - 32	4
20 - 33	3
20 - 34	3
20 - 35	4
20 - 36	4
19 - 21	6
19 - 22	1
19 - 23	2
19 - 24	4
19 - 25	6
19 - 26	6
19 - 27	5
19 - 28	4
19 - 29	3
19 - 30	3
19 - 31	4
19 - 32	4
19 - 33	5
19 - 34	5
19 - 35	4
19 - 36	4
18 - 20	5
18 - 21	1
18 - 22	4
18 - 23	5
18 - 24	5
18 - 25	3
18 - 26	1
18 - 27	2
18 - 28	3
18 - 29	4
18 - 30	4
18 - 31	3
18 - 32	3
18 - 33	2
18 - 34	4
18 - 35	3
18 - 36	3
17 - 19	6
17 - 20	4
17 - 21	2
17 - 22	5
17 - 23	4
17 - 24	4
17 - 25	6
17 - 26	4
17 - 27	1
17 - 28	6
17 - 29	3
17 - 30	3
17 - 31	4
17 - 32	4
17 - 33	3
17 - 34	3
17 - 35	6
17 - 36	4
16 - 18	5
16 - 19	6
16 - 20	2
16 - 21	4
16 - 22	5
16 - 23	4
16 - 24	2
16 - 25	4
16 - 26	6
16 - 27	3
16 - 28	4
16 - 29	3
16 - 30	3
16 - 31	4
16 - 32	6
16 - 33	5
16 - 34	3
16 - 35	4
16 - 36	4
15 - 17	6
15 - 18	5
15 - 19	4
15 - 20	2
15 - 21	6
15 - 22	3
15 - 23	6
15 - 24	4
15 - 25	2
15 - 26	4
15 - 27	5
15 - 28	4
15 - 29	3
15 - 30	5
15 - 31	6
15 - 32	4
15 - 33	3
15 - 34	3
15 - 35	4
15 - 36	4
14 - 16	6
14 - 17	6
14 - 18	5
14 - 19	2
14 - 20	4
14 - 21	6
14 - 22	1
14 - 23	4
14 - 24	6
14 - 25	4
14 - 26	4
14 - 27	5
14 - 28	6
14 - 29	3
14 - 30	3
14 - 31	4
14 - 32	4
14 - 33	3
14 - 34	3
14 - 35	4
14 - 36	6
13 - 15	5
13 - 16	5
13 - 17	5
13 - 18	4
13 - 19	1
13 - 20	5
13 - 21	5
13 - 22	2
13 - 23	1
13 - 24	3
13 - 25	5
13 - 26	5
13 - 27	4
13 - 28	3
13 - 29	4
13 - 30	2
13 - 31	3
13 - 32	3
13 - 33	4
13 - 34	4
13 - 35	3
13 - 36	3
12 - 14	5
12 - 15	5
12 - 16	3
12 - 17	1
12 - 18	2
12 - 19	5
12 - 20	3
12 - 21	3
12 - 22	4
12 - 23	3
12 - 24	3
12 - 25	5
12 - 26	3
12 - 27	2
12 - 28	5
12 - 29	2
12 - 30	2
12 - 31	3
12 - 32	3
12 - 33	2
12 - 34	4
12 - 35	5
12 - 36	3
11 - 13	5
11 - 14	4
11 - 15	2
11 - 16	2
11 - 17	4
11 - 18	5
11 - 19	4
11 - 20	4
11 - 21	4
11 - 22	3
11 - 23	6
11 - 24	4
11 - 25	4
11 - 26	6
11 - 27	3
11 - 28	4
11 - 29	3
11 - 30	5
11 - 31	6
11 - 32	6
11 - 33	5
11 - 34	3
11 - 35	4
11 - 36	4
10 - 12	4
10 - 13	2
10 - 14	1
10 - 15	3
10 - 16	5
10 - 17	5
10 - 18	4
10 - 19	3
10 - 20	3
10 - 21	5
10 - 22	2
10 - 23	3
10 - 24	5
10 - 25	3
10 - 26	3
10 - 27	4
10 - 28	5
10 - 29	4
10 - 30	2
10 - 31	3
10 - 32	3
10 - 33	2
10 - 34	2
10 - 35	3
10 - 36	5
9 - 11	5
9 - 12	2
9 - 13	4
9 - 14	5
9 - 15	5
9 - 16	3
9 - 17	3
9 - 18	2
9 - 19	5
9 - 20	3
9 - 21	3
9 - 22	4
9 - 23	3
9 - 24	3
9 - 25	3
9 - 26	3
9 - 27	4
9 - 28	3
9 - 29	2
9 - 30	2
9 - 31	1
9 - 32	5
9 - 33	4
9 - 34	4
9 - 35	3
9 - 36	5
8 - 10	5
8 - 11	4
8 - 12	1
8 - 13	5
8 - 14	4
8 - 15	4
8 - 16	4
8 - 17	2
8 - 18	3
8 - 19	4
8 - 20	4
8 - 21	4
8 - 22	3
8 - 23	4
8 - 24	4
8 - 25	6
8 - 26	4
8 - 27	3
8 - 28	6
8 - 29	1
8 - 30	3
8 - 31	4
8 - 32	4
8 - 33	3
8 - 34	5
8 - 35	6
8 - 36	4
7 - 9	5
7 - 10	5
7 - 11	2
7 - 12	3
7 - 13	5
7 - 14	4
7 - 15	2
7 - 16	4
7 - 17	4
7 - 18	3
7 - 19	4
7 - 20	4
7 - 21	4
7 - 22	3
7 - 23	6
7 - 24	4
7 - 25	4
7 - 26	4
7 - 27	3
7 - 28	4
7 - 29	3
7 - 30	5
7 - 31	6
7 - 32	4
7 - 33	3
7 - 34	5
7 - 35	4
7 - 36	2
6 - 8	6
6 - 9	5
6 - 10	3
6 - 11	2
6 - 12	5
6 - 13	3
6 - 14	4
6 - 15	4
6 - 16	2
6 - 17	4
6 - 18	5
6 - 19	4
6 - 20	4
6 - 21	4
6 - 22	3
6 - 23	4
6 - 24	4
6 - 25	4
6 - 26	6
6 - 27	3
6 - 28	4
6 - 29	5
6 - 30	3
6 - 31	4
6 - 32	6
6 - 33	5
6 - 34	3
6 - 35	2
6 - 36	4
5 - 7	6
5 - 8	6
5 - 9	5
5 - 10	1
5 - 11	4
5 - 12	5
5 - 13	3
5 - 14	2
5 - 15	4
5 - 16	4
5 - 17	4
5 - 18	5
5 - 19	4
5 - 20	4
5 - 21	4
5 - 22	3
5 - 23	4
5 - 24	6
5 - 25	4
5 - 26	4
5 - 27	3
5 - 28	6
5 - 29	5
5 - 30	3
5 - 31	4
5 - 32	4
5 - 33	3
5 - 34	1
5 - 35	4
5 - 36	6
4 - 6	5
4 - 7	5
4 - 8	5
4 - 9	4
4 - 10	2
4 - 11	5
4 - 12	4
4 - 13	2
4 - 14	3
4 - 15	3
4 - 16	5
4 - 17	5
4 - 18	4
4 - 19	3
4 - 20	3
4 - 21	5
4 - 22	4
4 - 23	3
4 - 24	3
4 - 25	3
4 - 26	3
4 - 27	4
4 - 28	3
4 - 29	4
4 - 30	4
4 - 31	5
4 - 32	1
4 - 33	2
4 - 34	2
4 - 35	5
4 - 36	3
3 - 5	6
3 - 6	6
3 - 7	4
3 - 8	2
3 - 9	1
3 - 10	5
3 - 11	4
3 - 12	3
3 - 13	5
3 - 14	4
3 - 15	4
3 - 16	4
3 - 17	4
3 - 18	3
3 - 19	4
3 - 20	4
3 - 21	4
3 - 22	3
3 - 23	4
3 - 24	4
3 - 25	4
3 - 26	4
3 - 27	5
3 - 28	4
3 - 29	1
3 - 30	3
3 - 31	2
3 - 32	6
3 - 33	5
3 - 34	5
3 - 35	4
3 - 36	6
2 - 4	5
2 - 5	4
2 - 6	2
2 - 7	2
2 - 8	4
2 - 9	5
2 - 10	3
2 - 11	4
2 - 12	3
2 - 13	3
2 - 14	4
2 - 15	4
2 - 16	4
2 - 17	4
2 - 18	3
2 - 19	4
2 - 20	4
2 - 21	4
2 - 22	3
2 - 23	4
2 - 24	4
2 - 25	4
2 - 26	4
2 - 27	3
2 - 28	4
2 - 29	5
2 - 30	3
2 - 31	4
2 - 32	4
2 - 33	3
2 - 34	5
2 - 35	2
2 - 36	2
1 - 3	6
1 - 4	1
1 - 5	2
1 - 6	4
1 - 7	6
1 - 8	6
1 - 9	5
1 - 10	3
1 - 11	4
1 - 12	5
1 - 13	3
1 - 14	4
1 - 15	4
1 - 16	4
1 - 17	4
1 - 18	5
1 - 19	4
1 - 20	4
1 - 21	4
1 - 22	5
1 - 23	4
1 - 24	4
1 - 25	4
1 - 26	4
1 - 27	3
1 - 28	4
1 - 29	5
1 - 30	5
1 - 31	6
1 - 32	2
1 - 33	3
1 - 34	1
1 - 35	6
1 - 36	4
0 - 2	3
0 - 3	3
0 - 4	2
0 - 5	3
0 - 6	3
0 - 7	3
0 - 8	3
0 - 9	2
0 - 10	2
0 - 11	3
0 - 12	2
0 - 13	2
0 - 14	3
0 - 15	3
0 - 16	3
0 - 17	3
0 - 18	2
0 - 19	3
0 - 20	3
0 - 21	3
0 - 22	2
0 - 23	3
0 - 24	3
0 - 25	3
0 - 26	3
0 - 27	2
0 - 28	3
0 - 29	2
0 - 30	2
0 - 31	3
0 - 32	3
0 - 33	2
0 - 34	2
0 - 35	3
0 - 36	3
